title,author_name,date,likes,comments,categories_list,type
The Problem Is We Think Too Much,Sarah Firth,2018-06-29T06:36:02.146Z,1.3K,1.3K,Philosophy,Blog
My surprise mid-life discovery: a love of watercolors,Esther Hofknecht Curtis,2018-10-29T19:28:54.442Z,61,61,Art,Blog
"Analyzing the Frieze London 2018 art fair, Part 1",Vishal Kumar,2018-10-29T19:18:50.300Z,156,156,Twitter,Blog
Why the Truth Isn’t What You Think It Is,Zat Rana,2018-10-28T18:40:59.333Z,1.3K,1.3K,Self Improvement,Blog
Please Terrorize Responsibly: Why Horror and Vent Art Matter,Varen Desmond,2018-10-28T01:08:27.946Z,56,56,Self Improvement,Blog
The Problem Is We Think Too Much,Sarah Firth,2018-06-29T06:36:02.146Z,1.3K,1.3K,Philosophy,Blog
Robert Adanto’s Born Just Now (2018) and the contested feminine being of Marta Jovanović,Claudia Valeska,2018-10-25T01:02:51.449Z,na,na,Art,Blog
Pilsen’s True Colors,Ross Dillon,2018-10-24T17:49:24.833Z,52,52,Art,Blog
Stolen Heritage: Decolonizing European-American Museums,Jessica Phippen,2018-10-24T16:37:01.903Z,7,7,Museums,Blog
Little AI,David Young,2018-10-23T20:00:36.755Z,48,48,Artificial Intelligence,Blog
The Best Political Art of the Trump Era,Belinda Lanks,2018-10-25T13:30:54.070Z,133,133,Art,Blog
A time for sorcerers and saints,Dan,2018-10-25T11:17:53.972Z,45,45,Art,Blog
"Black Art, White Criticism: Devaluing Black Artistic Merit",Tiffany Cherise Jordan,2018-10-23T07:36:52.237Z,39,39,Art,Blog
"Flowers, seaweeds and women’s lib: 6 women botanic illustrators",Alba Diez de Ure,2018-08-24T13:48:44.000Z,102,102,Art,Blog
The Decline from Poetry to Archaeology,Saxon Henry,2018-10-24T13:46:03.312Z,95,95,Travel,Blog
Thousand Little Renaissances,Jan Bromberger,2018-10-24T07:55:31.010Z,45,45,Art,Blog
The Influence of Literature on Modern Art,SHANGRIXLA,2018-10-23T20:44:17.169Z,6,6,Art,Blog
A Journalist’s Reflection on Goya’s “The Third of May 1808”,Ali Pitargue,2018-10-22T08:26:45.460Z,29,29,Art,Blog
"Cultural Worker, Not A “Creative”",Devyn Springer,2018-10-23T15:43:32.747Z,116,116,Art,Blog
Saavdhaan: The Regimes of Truth,Shaunak Mahbubani,2018-10-21T17:22:53.616Z,na,na,India,Blog
The Old Gods by Will Corwin,AS | Artists Studios,2018-10-23T02:01:47.169Z,61,61,Art,Blog
Jumper Maybach and the spirituality of art,Gareth Johnson,2018-10-22T20:34:43.391Z,70,70,Art,Blog
Literary and pictorial play in the glittering world of Ukiyo-e,Anna McDonald,2018-10-20T05:15:50.252Z,5,5,Art,Blog
Mondo Scripto: lyrics and drawings by Bob Dylan,Emma Jolly,2018-10-21T20:29:51.815Z,163,163,Music,Blog
An Inconvenient Masterpiece: When Art Took on Fascism,Steven Gambardella,2018-10-20T13:10:01.009Z,291,291,History,Blog
Environments Studio I: OSGEMEOS Exhibit Design at the Miller ICA,Mimi Jiao,2018-10-18T01:27:55.435Z,2,2,na,Blog
On True Connection.,Alenka Rose,2018-10-17T13:23:58.133Z,360,360,Art Of Living,Blog
Jenny Holzer Made Good Things Out of Horror,The Cut,2018-10-18T11:58:15.570Z,na,na,na,Blog
More than just a designer: An interview with Josh Emrich,Hayden Aube,2018-10-16T16:30:40.525Z,258,258,Illustration,Blog
The euphoria of creating an erotic collage,Gareth Johnson,2018-10-17T23:43:41.842Z,122,122,Art,Blog
Going to Paris. What Van Gogh’s arrival in Paris can teach us about timing.,Marcy Pedersen,2018-10-17T23:25:57.000Z,338,338,Art,Blog
Spirited away,Minneapolis Institute of Art,2018-10-17T21:13:18.074Z,84,84,Ghosts,Blog
Surveying Strangers About Tattoos,Late Night Froyo,2018-10-16T02:27:27.738Z,210,210,Tattoo,Blog
"Perception, Identity, and Kusama",Katie Sharrard,2018-10-15T21:49:28.003Z,4,4,Philosophy,Blog
"Banksy, Trust and the Art Market — the Inside Story",The Financial Times,2018-10-17T18:47:06.036Z,na,na,na,Blog
Steven Holl’s World Of Watercolours,TMD STUDIO LTD,2018-10-17T16:44:35.733Z,na,na,Art,Blog
What YA Fiction Taught Me,na,7-Sep,,,na,Blog
The Underlying Message Scaachi Sent Us,Rachael Nunemacher,2018-10-29T21:32:38.175Z,na,na,Feminism,Blog
‘Women Talking’ and the faculty of speech,Rikkii,2018-10-27T22:01:01.810Z,5,5,Book Review,Blog
9 Books That Helped Me Become the Leader I Am Today,Shanna A. Hocking,2018-10-27T21:42:51.249Z,8,8,Leadership,Blog
The Wonderfully Weird Women Writers You Should be Reading this Halloween,Laura Elliott,2018-10-29T16:51:31.759Z,13,13,Books,Blog
Thinking Outside the Books,Badri Sunderarajan,2018-10-28T02:31:02.458Z,54,54,Libraries,Blog
Is Russia ‘a Terrible Country’?,Katya Apekina,2018-10-29T11:01:02.012Z,4,4,Writing,Blog
8 Books about Family Money,Kat,2018-10-29T11:01:02.579Z,1,1,Books,Blog
Researching Education in America While Reading Educated,Catherine Lanser,2018-10-26T19:57:23.000Z,3,3,Education,Blog
Embracing Discomfort in Equity Work,Dr Debbie Donsky,2018-10-28T13:14:31.700Z,1,1,Brené Brown,Blog
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution (Tucker Carlson),The Worthy House,2018-10-28T11:20:26.000Z,9,9,2016 Election,Blog
Book Review: The Water Knife,lengutman,2018-10-28T03:27:16.544Z,50,50,Water,Blog
Why I Hated Reading in High School,Liz Kelso,2018-10-27T21:28:57.634Z,5,5,Reading,Blog
What to Read When You‘re Going Through A Friend Breakup,JR Ramakrishnan,2018-10-26T11:01:02.338Z,155,155,Books,Blog
Ben Barres tells his story in his own words,Ashley Juavinett,2018-10-26T10:25:25.859Z,133,133,Transgender,Blog
Lunch at Doublespeak,Erica Rex,2018-10-26T08:03:09.960Z,21,21,Essay,Blog
Book Review: High Magick By Damien Echols,Hope K,2018-10-26T03:46:59.985Z,7,7,Death Penalty,Blog
What YA Fiction Taught Me,na,7-Sep,,,na,Blog
200 Years of Frankenstein,Strand Book Store,2018-10-25T19:39:48.057Z,30,30,Frankenstein,Blog
Where Is The Meaning of Art?,Paul de Font-Reaulx,2018-05-13T10:44:05.138Z,1.4K,1.4K,Philosophy,Blog
Lunch with English Novelist John Wain,Steve Newman Writer,2018-09-05T18:14:45.439Z,86,86,Writing,Blog
"The UX Designer’s Comprehensive, Growing Reading List",Valinda Chan,2018-10-25T18:57:56.104Z,66,66,Design,Blog
When the Classics Won’t Stay Dead,E.D. Adams and T.J. Bolt,2018-10-25T17:23:57.059Z,92,92,Film,Blog
Shirley Barrett Recommends Five Horrifying Books That Aren’t By Men,Electric Literature,2018-10-25T11:01:02.223Z,70,70,Read More Women,Blog
Yuval Noah Harari’s Half-Baked Guide to the 21st Century,Wessie du Toit,2018-10-25T14:01:55.252Z,110,110,Books,Blog
Life Is A Gift,Ed Newman,2018-09-14T06:31:00.000Z,4,4,Poetry,Blog
"Flowers, seaweeds and women’s lib: 6 women botanic illustrators",Alba Diez de Ure,2018-08-24T13:48:44.000Z,102,102,Art,Blog
‘Good and Mad’ Helped Me Understand The Woman Who Makes Me Angriest,E.B. Bartels,2018-10-24T11:01:02.040Z,217,217,Feminism,Blog
Édouard Louis on Fictionalizing His Violent Assault,Courtney Maum,2018-10-24T11:01:01.756Z,74,74,Books,Blog
